VarName1,VarName2,VarName3,VarName4,VarName5,VarName6,VarName7
183.58,27915.9120581366,0,-3854.89634711272,-0,-38.1345149962444,-0
183.59,27917.2493059162,0,-3853.84642475587,-0,-38.1390063913215,-0
183.6,27918.5864713949,0,-3852.79639757521,-0,-38.1434975667798,-0
183.61,27919.9235545704,0,-3851.74626557654,-0,-38.147988742183,-0
183.62,27921.2605554386,0,-3850.69602877145,-0,-38.1524794775082,-0
183.63,27922.5974739933,0,-3849.64568717732,-0,-38.1569699923465,-0
183.64,27923.9343102323,0,-3848.59524079994,-0,-38.1614605071296,-0
183.65,27925.2710641515,0,-3847.54468965092,-0,-38.1659505800984,-0
183.66,27926.6077357447,0,-3846.49403374768,-0,-38.1704404317122,-0
183.67,27927.9443250098,0,-3845.44327309603,-0,-38.1749302832707,-0
183.68,27929.2808319426,0,-3844.39240770758,-0,-38.1794196912785,-0
183.69,27930.6172565369,0,-3843.34143759979,-0,-38.1839088770631,-0
183.7,27931.9535987907,0,-3842.29036277847,-0,-38.1883980627925,-0
183.71,27933.2898586999,0,-3841.23918325526,-0,-38.1928868032347,-0
183.72,27934.6260362583,0,-3840.18789904763,-0,-38.1973753205855,-0
183.73,27935.9621314637,0,-3839.13651016142,-0,-38.2018638378812,-0
183.74,27937.2981443143,0,-3838.08501660245,-0,-38.2063521317684,-0
183.75,27938.6340748038,0,-3837.03341838822,-0,-38.2108399780533,-0
183.76,27939.969922926,0,-3835.98171553625,-0,-38.2153276000892,-0
183.77,27941.3056886791,0,-3834.92990805236,-0,-38.2198152220699,-0
183.78,27942.6413720588,0,-3833.87799594827,-0,-38.2243023947119,-0
183.79,27943.9769730592,0,-3832.82597924149,-0,-38.2287893422367,-0
183.8,27945.3124916781,0,-3831.77385793788,-0,-38.2332762897063,-0
183.81,27946.6479279115,0,-3830.72163204916,-0,-38.2377627861009,-0
183.82,27947.9832817533,0,-3829.66930159288,-0,-38.2422490565099,-0
183.83,27949.3185532016,0,-3828.61686657491,-0,-38.2467353268639,-0
183.84,27950.6537422523,0,-3827.56432700697,-0,-38.2512211444064,-0
183.85,27951.9888488994,0,-3826.51168290667,-0,-38.2557067350952,-0
183.86,27953.3238731408,0,-3825.45893427986,-0,-38.2601923257289,-0
183.87,27954.6588149725,0,-3824.40608113831,-0,-38.2646774618147,-0
183.88,27955.9936743887,0,-3823.35312349962,-0,-38.2691623701787,-0
183.89,27957.3284513871,0,-3822.30006136969,-0,-38.2736472784876,-0
183.9,27958.6631459639,0,-3821.24689476027,-0,-38.2781317305122,-0
183.91,27959.9977581132,0,-3820.19362368903,-0,-38.2826159539468,-0
183.92,27961.3322878328,0,-3819.14024816185,-0,-38.2871001773263,-0
183.93,27962.6667351189,0,-3818.08676819051,-0,-38.2915839426851,-0
183.94,27964.0010999654,0,-3817.0331837927,-0,-38.2960674785856,-0
183.95,27965.3353823705,0,-3815.97949497432,-0,-38.3005510144312,-0
183.96,27966.6695823302,0,-3814.92570174717,-0,-38.3050340905196,-0
183.97,27968.0036998385,0,-3813.87180412896,-0,-38.3095169362816,-0
183.98,27969.3377348936,0,-3812.8178021256,-0,-38.3139997819886,-0
183.99,27970.6716874934,0,-3811.76369574301,-0,-38.3184823970523,-0
184,27972.0055576321,0,-3810.70948499891,-0,-38.3229645500437,-0
184.01,27973.3393453443,0,-3809.65516997076,-0,-38.3274416204514,-0
184.02,27974.6730506687,0,-3808.60075072416,-0,-38.3319186908592,-0
184.03,27976.0066736031,0,-3807.54622726483,-0,-38.336395546496,-0
184.04,27977.3402141434,0,-3806.49159960422,-0,-38.3408721870508,-0
184.05,27978.6736722875,0,-3805.43686774804,-0,-38.345348827551,-0
184.06,27980.0070480312,0,-3804.38203170775,-0,-38.3498250369815,-0
184.07,27981.3403413683,0,-3803.32709150054,-0,-38.3543010303969,-0
